Rule Piece,Condition,Grade,Times Used,Condition Weight,Times Incorrect,Condition Score
Rule Piece 5,rest_differential > 2.50,0.1875,16,0.0009264978381717109,13,0.0001737183446571958
Rule Piece 6,run_count > 32.50,0.0,4,0.0,4,0.0
Rule Piece 6,YardsToGo > 11.50,0.0,0,0.0,0,0.0
Rule Piece 6,home_team_on_offense > 23.00,0.0,0,0.0,0,0.0
Rule Piece 6,home_team_on_offense <= 10.50,0.0,0,0.0,0,0.0
Rule Piece 6,home_team_on_offense <= 23.00,0.0,1,0.0,1,0.0
Rule Piece 6,Temperature <= 36.76,0.0,1,0.0,1,0.0
Rule Piece 6,Down > 3.50,0.0,2,0.0,2,0.0
Rule Piece 6,home_team_on_offense > 10.50,0.0,3,0.0,3,0.0
Rule Piece 6,AWAY_day_since_last_game > 17.00,0.0,11,0.0,11,0.0
Rule Piece 6,week <= 13.50,0.0,4,0.0,4,0.0
Rule Piece 6,pass_run_ratio <= 0.55,0.0,7,0.0,7,0.0
Rule Piece 6,total_play_count <= 69.50,0.0,11,0.0,11,0.0
Rule Piece 6,stadium > 10.00,0.0,13,0.0,13,0.0
Rule Piece 5,poor_field_condition <= 0.50,0.0,3,0.0,3,0.0
Rule Piece 5,OffenseTeam > 25.00,0.0,1,0.0,1,0.0
Rule Piece 3,YardsToGo > 21.50,0.0,0,0.0,0,0.0
Rule Piece 6,stadium > 32.50,0.0,0,0.0,0,0.0
